,Periodo,Alfilorios Volumen (hm3),Alfilorios Porcentaje,Arbón Volumen (hm3),Arbón Porcentaje,La Barca Volumen (hm3),La Barca Porcentaje,Doiras Volumen (hm3),Doiras Porcentaje,Salime Volumen (hm3),Salime Porcentaje,Tanes - Rioseco Volumen (hm3),Tanes - Rioseco Porcentaje
0,1999-01,5.79,70.96,35.65,88.24,22.1,66.65,104.22,90.94,125.61,47.29,22.28,59.32
1,1999-02,5.63,66.94,35.24,87.23,22.69,68.43,108.04,94.28,155.88,58.68,28.2,75.08
2,1999-03,6.47,76.93,34.48,85.35,27.77,83.75,110.57,96.48,203.59,76.64,25.37,67.55
3,1999-04,6.61,78.6,34.48,85.35,28.63,86.34,108.04,94.28,222.27,83.68,26.77,71.27
4,1999-05,6.72,79.91,35.43,87.7,29.74,89.69,113.27,98.84,152.48,57.4,32.05,85.33
5,1999-06,5.48,65.16,35.73,88.44,32.2,97.11,3.24,2.83,94.28,35.49,29.2,77.74
6,1999-07,4.31,51.25,36.39,90.07,32.56,98.19,0.28,0.24,105.84,39.85,25.12,66.88
7,1999-08,3.36,39.95,31.49,77.95,32.33,97.5,0.33,0.29,105.97,39.89,17.69,47.1
8,1999-09,2.81,33.41,35.95,88.99,29.09,87.73,0.28,0.24,109.51,41.23,14.31,38.1
9,1999-10,2.64,31.39,33.92,83.96,31.51,95.02,5.28,4.61,142.57,53.67,14.29,38.05
10,1999-11,3.99,47.44,35.46,87.77,25.93,78.2,107.56,93.86,192.75,72.56,18.53,49.33
11,1999-12,5.37,63.85,33.68,83.37,27.55,83.08,107.51,93.81,215.49,81.12,21.71,57.8
12,1999,4.93,58.82,34.83,86.2,28.51,85.97,64.05,55.89,152.19,57.29,22.96,61.13
13,2000-01,5.59,66.47,31.96,79.11,26.48,79.86,102.51,89.45,131.02,49.32,20.31,54.07
14,2000-02,6.12,72.77,34.97,86.56,25.63,77.29,110.34,96.28,120.79,45.47,27.03,71.97
15,2000-03,6.08,72.3,36.75,90.97,25.37,76.51,111.59,97.37,112.38,42.31,19.52,51.97
16,2000-04,7.63,90.73,35.05,86.76,29.88,90.11,110.03,96.01,226.27,85.18,29.53,78.62
17,2000-05,8.15,96.91,34.32,84.95,32.37,97.62,111.46,97.26,164.34,61.87,32.22,85.78
18,2000-06,7.46,88.7,35.24,87.23,32.42,97.77,78.67,68.65,137.38,51.72,31.55,84.0
19,2000-07,5.85,69.56,30.05,74.38,32.82,98.98,78.78,68.74,143.0,53.83,25.06,66.72
20,2000-08,4.44,52.79,28.37,70.22,32.56,98.19,107.6,93.89,115.15,43.35,19.17,51.04
21,2000-09,3.36,39.95,28.5,70.55,32.71,98.64,75.2,65.62,133.15,50.13,12.26,32.64
22,2000-10,3.17,37.69,30.05,74.38,32.18,97.05,89.68,78.26,125.01,47.06,19.97,53.17
23,2000-11,4.54,53.98,35.13,86.96,27.74,83.66,112.36,98.05,252.33,94.99,28.5,75.88
24,2000-12,4.78,56.84,33.81,83.69,25.07,75.6,107.43,93.74,238.72,89.87,23.49,62.54
25,2000,5.6,66.56,32.85,81.31,29.6,89.27,99.64,86.94,158.29,59.59,24.05,64.03
26,2001-01,6.53,77.65,33.36,82.57,27.25,82.18,108.79,94.93,249.54,93.94,30.35,80.8
27,2001-02,7.49,89.06,36.25,89.73,27.25,82.18,101.07,88.19,227.61,85.69,27.95,74.41
28,2001-03,8.43,100.24,34.8,86.14,28.56,86.13,109.41,95.47,246.21,92.69,29.43,78.36
29,2001-04,8.13,96.67,33.47,82.85,30.37,91.59,102.0,89.01,235.18,88.54,32.45,86.4
30,2001-05,8.38,99.64,35.86,88.76,16.99,51.24,103.32,90.16,256.6,96.6,32.85,87.46
31,2001-06,7.9,93.94,35.95,88.99,31.83,95.99,105.42,91.99,226.94,85.44,31.67,84.32
32,2001-07,6.18,73.48,36.14,89.46,32.82,98.98,101.37,88.46,194.22,73.12,26.79,71.33
33,2001-08,5.5,65.4,35.76,88.52,32.64,98.43,83.02,72.44,168.71,63.51,19.54,52.02
34,2001-09,4.06,48.28,35.73,88.44,32.31,97.44,106.38,92.83,119.14,44.85,13.08,34.82
35,2001-10,4.5,53.51,36.68,90.79,32.56,98.19,70.94,61.9,98.48,37.07,9.13,24.31
36,2001-11,3.12,37.1,36.28,89.8,31.97,96.41,85.29,74.42,81.25,30.59,25.98,69.17
37,2001-12,3.37,40.07,35.59,88.09,32.26,97.29,54.04,47.16,66.34,24.98,23.94,63.74
38,2001,6.13,72.92,35.49,87.84,29.73,89.67,94.25,82.25,180.85,68.08,25.26,67.26
39,2002-01,3.39,40.31,34.91,86.41,32.91,99.25,34.67,30.25,99.26,37.37,31.38,83.55
40,2002-02,3.5,41.62,35.4,87.62,17.09,51.54,60.75,53.01,170.31,64.11,32.81,87.35
41,2002-03,4.3,51.13,35.84,88.71,23.56,71.05,113.49,99.03,182.81,68.82,29.74,79.18
