"Temperaturas medias y extremas, precipitación y horas de sol"

"Periodo";"Aeropuerto Precipitación total (mm)"
"1990-01";49.9
"1990-02";50.8
"1990-03";30.1
"1990-04";194.8
"1990-05";57.6
"1990-06";62.4
"1990-07";10.8
"1990-08";29.7
"1990-09";13.8
"1990-10";134.0
"1990-11";237.0
"1990-12";147.9
"1990";1018.8
"1991-01";81.9
"1991-02";130.7
"1991-03";87.4
"1991-04";102.1
"1991-05";83.4
"1991-06";44.1
"1991-07";19.0
"1991-08";8.0
"1991-09";156.7
"1991-10";150.8
"1991-11";120.9
"1991-12";4.0
"1991";989.0
"1992-01";35.4
"1992-02";16.0
"1992-03";72.4
"1992-04";78.3
"1992-05";42.8
"1992-06";104.1
"1992-07";31.2
"1992-08";241.1
"1992-09";45.7
"1992-10";387.2
"1992-11";65.3
"1992-12";108.7
"1992";1228.2
"1993-01";30.9
"1993-02";36.3
"1993-03";65.0
"1993-04";125.6
"1993-05";73.8
"1993-06";84.5
"1993-07";49.8
"1993-08";123.2
"1993-09";118.2
"1993-10";124.8
"1993-11";99.4
"1993-12";155.1
"1993";1086.6
"1994-01";152.2
"1994-02";51.3
"1994-03";45.8
"1994-04";125.0
"1994-05";92.7
"1994-06";29.4
"1994-07";37.8
"1994-08";46.0
"1994-09";181.1
"1994-10";61.4
"1994-11";44.9
"1994-12";228.0
"1994";1095.6
"1995-01";146.7
"1995-02";151.9
"1995-03";123.7
"1995-04";38.1
"1995-05";45.7
"1995-06";30.4
"1995-07";99.4
"1995-08";46.7
"1995-09";119.1
"1995-10";29.1
"1995-11";109.2
"1995-12";167.4
"1995";1107.4
"1996-01";51.0
"1996-02";163.0
"1996-03";128.1
"1996-04";41.6
"1996-05";123.1
"1996-06";25.8
"1996-07";67.8
"1996-08";82.5
"1996-09";90.8
"1996-10";41.1
"1996-11";286.1
"1996-12";121.1
"1996";1222.0
"1997-01";192.4
"1997-02";15.3
"1997-03";0.9
"1997-04";6.1
"1997-05";102.1
"1997-06";68.2
"1997-07";66.4
"1997-08";185.7
"1997-09";66.2
"1997-10";164.2
"1997-11";172.3
"1997-12";127.8
"1997";1167.6
"1998-01";61.7
"1998-02";34.9
"1998-03";43.7
"1998-04";245.1
"1998-05";69.7
"1998-06";31.0
"1998-07";63.5
"1998-08";29.4
"1998-09";66.7
"1998-10";128.5
"1998-11";108.8
"1998-12";54.2
"1998";937.2
"1999-01";84.1
"1999-02";106.4
"1999-03";122.6
"1999-04";125.6
"1999-05";88.4
"1999-06";18.1
"1999-07";20.6
"1999-08";22.2
"1999-09";118.7
"1999-10";75.1
"1999-11";175.8
"1999-12";155.1
"1999";1112.7
"2000-01";101.4
"2000-02";40.0
"2000-03";63.8
"2000-04";174.8
"2000-05";26.5
"2000-06";25.5
"2000-07";58.3
"2000-08";..
"2000-09";..
"2000-10";..
"2000-11";..
"2000-12";..
"2000";..
